file	nuc_num	celltype	area	dapi_intensity	a647_intensity	a488_intensity
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	13	NES	24813	2515902511.000000	439964426.000000	613384593.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	14	NES	24631	1944599715.000000	309285690.000000	564521627.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	15	NES	28120	2766194638.000000	347874234.000000	601122172.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	16	NES	22583	2381227910.000000	335164813.000000	668297953.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	17	NES	24225	1964790146.000000	269386138.000000	496963726.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	18	NES	29288	1878103235.000000	326171683.000000	626873187.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	19	NES	20307	1777521527.000000	233685629.000000	486899207.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	20	NES	31396	3509325964.000000	351168906.000000	756811299.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	21	NES	29349	1951122086.000000	317010566.000000	562544546.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	22	NES	27766	3482194468.000000	342498458.000000	738419394.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	23	NES	22295	1986890999.000000	253146227.000000	520868172.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	24	NES	31225	3493993893.000000	361860804.000000	768590494.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	25	NES	25614	2074068103.000000	276646529.000000	531208359.000000
